Stars,Title,Date,Review Body
5,This title gadget will not let you down.,2021/4/7,"The first weekend we had this - our neighbor needed to start their car- the battery was dead. I took this over to them and we hooked it up - the machine lit up green after about a minute and we had the owner try to start the car and it started right up. Then our riding lawn mower would not start - so we used it on the battery- hooked it up - wait for green light - turn the key - starts right up.  Our travel trailer was dead - so we jumped that battery and se were able to have lights and a refrigerator operable. In one weekend, we were able to help in three different situations. We will order two more of these for a second vehicle and our RV.  These will be great Christmas presents for every one on our list."
4,where have i been,2022/5/24,"Car battery dead in driveway.  I hate the whole process of jumper cables.  Getting a second car, don’t touch cable ends, watch fan belt!, get good ground,  sparks, get good ground, do i run the second car, press accelerator,  acch still not starting, readjust,  no sparking, watch fan belt!  Maybe i need new cables.  Car totally dead.  Nothing. Was searching for new cables.  Figured amazon could 1 day deliver, and cheaper than calling a tow truck.  Then I saw these things.  Hulkman.  Cheesy name.  But not much more expensive than good set of cables.  Took a chance, figured I could always return.Long story short.  extremely well made.  well packaged too.  small, fits in glove box.  yes it looks like something apple would sell.  except for the name.  even came with its battery already charged.  didnt think it would work.  too small.  but attached its small clamps to my batterry terminal.  hit on button on hulkman (if battery comepletely dead like mine have to hit two buttons).  got back in car, lights are on, hit start button.  done.  car starts. no problem.  complete operation maybe a minute.  wow.Yes these are very good.  I took car to a mechanic to check alternator.  I bragged about how i got car to start with this hulkman and did not need jumper cables, feeling  like the tech nerd showing off the latest new iphone, expecting him to want to look at it.  He nodded, no need to look at.  Said they’ve been using these for a while...."
3,This Jumper is pretty good But.....,2022/4/29,"Dont get me wrong. this charger/jump pack is one of the better packs out there. My only greif is i bought it for a scooter that i have been working on restoring, rebuilding, and Modifying. There fore, I require many jumps consecutively. This pack in the first week was  the most amazing every. way more powerful than the tiny battery i purchase for the scooter. The following week it started acting like a jerk. Damn thing, if i tried to turn the engine over once with no start, then try again to start. It will go into fault mode and wont supply any power for 10minutes. arg!!? whats up with that? So, lets say i forgot to attach the spark plug boot. so i turn it over, oh shoot i forgot to connect the plug. whoops. lean over connect the plug and attempt to start again. NOPE says Hulk-man. you wait. and you wait and you wait. 10 mins takes forever when you are standing there waiting. This thing is awesome, only if your vehicle starts on the first turn. usually if you are jumping a vehicle, and you battery is dead. most cars with a dead battery are going to need a second run at it. if you are reading this you know what im talking bout. good luck"
5,Buy this one with confidence !!,2022/2/10,"My battery went dead and called AAA to start me back up.
They used this very booster and I couldn't believe it... He told me they used several different brands and this is the model all the guys rave about and he's boosting trucks and cars of all shapes and sizes several times a day .
I bought it and was impressed to say the least. Even the packaging was incredible plus the fact I can use it connected to my OB port to keep my electronics hot while I unhook the battery is just a bonus. ( You do need to buy a port adapter for that but it's cheap.)
It came with 72 percent charge and 8 minutes later it was 100 percent.
Everything in the box was maticulously placed and I appreciated that .
I've used it twice since then and each start will bring you down about 4 percent.
AAA beats this all day and night and tops it off during down time.
It is good for 10,000 boosts .
Big bright numbers and info make it fool proof and it also has a cigarette lighter style receprical for other accessories along with using it as a laptop or iPad back up for the kids in the back during road trips or just recharging your phone several times .
Some complain about no carrying case ...that's fine with me.
I keep it and the jumpers and everything else in a heavy duty canvas bag in my trunk and open it under the the hood . Haven't used the light in it yet but it looks like a bright LED that will light up what you need to see at night .
It's a huge peace of mind and even though I paid more than some do on cheaper models , I know it will not fail me when I need it most.
I also give back to those needing a jump that always helped me .
Today's electronics are very sensitive to onboard computers and this will give more power with no danger of jump starting it from another car , not to mention if the person is parked in a way that the cables are too short to reach .
Portable power s the answer.
I love it this thing ...5 stars Plus ."
5,This is a must to have,2022/3/21,"I had my SUV sitting for weeks without driving it during the winter and when I tried to start it, it couldn't because the battery was dead. I tried to jump start it using my 1200 Amp Schumacher power bank as before but it could not get the vehicle started. After fully charging the Schumacher power bank  (which takes hours)  and several unnsuccessful attempts to jump start, I gave up and thought to either have the vehicle towed or search for an alternative jump start. I decided to gobwith thevlatter and searched around in the internet and found this charm. I placed my order and had it delivered the next day. It arrived and without waiting (it arrived with 79% charge), I followed its simple, easy and straight forward instruction and voila! My SUV started without any hesitancy at the first attempt!I highly recommend this to any car owner! Don't be fooled by its apparent small size (which is a plus for storage and carrying), it is a beast and powerful."
1,It doesn't work,2021/11/6,This jump starter doesn't work. I have a 3.0L V6 engine and it doesn't work on my car at all. I was stranded and had to get someone who was kind enough to jump my car. I also tried using the cigarette lighter adapter to power my portable vacuum cleaner. It does not work either. The only thing is works is functioning as a big power bank to power my phone. Otherwise it's useless. Will be returning for refund.
5,What a lifesaver,2022/4/19,"I am so glad that I purchased this product. I decided to buy this brand because I saw great reviews on YouTube. I received the unit, and it was charged to 85%. I plugged the charger and in about 15 minutes it was fully charged. I was thinking I hope it works because I had no way to test it. Since I retired, I don't use my car that often anymore and, in the past, I went too long without using the car and my battery was weak and I had to get a jump from my wife's car. Well, three days after I got this unit, I went to use my car and the battery was weak again. I got the unit and I thought ""I hope this works"". I connected it to my battery, and I got the ready light right away. I pressed the start button on the car, and it started immediately as if the car battery was fully charged. The unit was still 95% charged after starting my car. Right there I was so thankful that I purchased this unit knowing that if I ever have this problem again, I won't need to bother anybody for a jump. I would recommend this product with confidence knowing that anybody will be as satisfied as I am owning this product."
5,Started a GMC Terrain w/completely dead battery instantly,2021/9/29,"It came 70% charged so I could have used it as soon as I opened the box but I decided to fully charge it, which only took about 15 minutes. The battery in my wife's car was completely dead and would not charge at all, but I was able to attach this unit and start it immediately and take it up to get the battery replaced. It's a bit confusing on what to do on a completely dead battery: you have to first attach it to your dead battery & then hold both the power button & LED button down at the same time for 3 or 4 seconds until a green display shows ""READY"". I then simply turned the key & the car started immediately. It showed that it used about 10% of the Hulkman charge to start the car, so I'm very impressed. This will be in my wife's car, fully charged and ready to go at all times. My only complaint is that it doesn't come with any kind of simple bag or carrying case for storage, which is necessary since it comes with the charger, cables, etc. They want 1/3rd of the original price of the Hulkman on Amazon for the case, which is a bit much for a fifty-cent plastic box."
5,Powerful Battery Jumper,2021/5/13,"This is a must-have! I had a lot of problems with my battery not starting when the temperature would drop to 30 degrees or less during the winter months. I decided to get this because I was tired of trying to find someone to jump my vehicle. Well of course after I got it it was like I didn't even need it but lo and behold my son ended up taking my car to work the other day and it just so happened to be cold when he got off that night and sure enough, the car wouldn't start. He said he plugged it up, placed the clamps on the terminals, the power pack said ready, and when he turned over the key, he said it was like the battery had never died. He was thoroughly impressed. You just don't want to be caught without one of these and have to depend on trying to find someone to jumpstart you and that's if they even have cables or worse, having to call your insurance company and waiting for them to send someone out to jump it for you. I never got into those big bulky jumper cables because they just got in the way, so this is a perfect alternative until I do something about the battery."
5,It really works,2021/7/3,"I took it right out of the box and it showed charge at 66% level.
I went out to my daughter's Toyota yaris which the battery was flat dead , not any lights would come on in the dash with key turned to on.
When I connected to car battery it gave me a warning ⚠️ light which you have to override by pushing and holding down both buttons for a few seconds and then it said ready.
I cranked car and it started and shut off like 3 seconds later , I had to Override by holding both buttons till device was ready again, I cranked car again this time giving it some gas because car hasn't run for several months.
*The device only lost 3% of charge in cranking the car twice.
I put device on charger and was amazed how fast it charged from 63% to 100% charge.
I don't know long term how it would hold up but this thing is awesome right now.
I will never travel anywhere without it now , I had been stuck before with no one around to jump me so my jumper cables were useless .
*Update, I have used this also to start my truck several times and it really is amazing how quickly it starts you vehicle and it only uses like 3% of charge at each start and its so fast at recharging it blows me away."
5,Highly recommend! Anyone can use this easily.,2021/2/20,"Wow is all I can say. We have had 20 degree weather for weeks in upstate NY. I purchased this after the battery in my car refused to start. For the record the car was in my garage with a full tank of gas. I had driven it the day before. The car is two years old and only has 17k miles in it. My brother in law came over with a similar machine and got the car started in under six minutes. I went in Amazon and bought this device hoping I’d never need it.
This morning I went out same circumstances and my car battery was dead.
I grabbed this device and after figuring out how to raise the hood, I had it started in less than two minutes! Got to our appointment 1 minute late. Could not have been happier.
Nice to have help at your fingertips."
4,A Heavy-duty charger with inadequate instructions,2021/8/2,"I purchased this charger for its high mAh rating to start my wife's Camry hybrid after a lengthy period of non-use.  Other chargers had failed and I hoped this would work.  It did but only after many failed attempts.The instructions for this charger are quite elemental and do not cover unusual situations and, as a result, I came very close to returning this device.  However, after searching for more info online and I discovered that, in fact, this charger has an undocumented way of using it when the charger doesn't ""see"" the battery at all.  This hidden trick allowed me to successfully restart the Camry.  I give the charger high marks.  I give their instruction manual low marks."
5,"This thing is STRONG, so far.  Love the compact size and power.",2021/12/22,"My old style jump box just kept getting weaker, so I finally decided to try one of the new style Lithium ones.  It has not disappointed.  Left the lights on in the car the other night, and the battery was dead dead dead.  Had to push both buttons to get this jumper to recognize that there was a battery connected, it was so bad.  Turned the key, and she started right up!  This thing is way stronger than my big jump box ever was.  Impressive.As long as it lasts, I will be extremely happy with this purchase."
3,This thing is Huge,2021/11/15,"If i would’ve taken a closer look, pictures are deceiving on ads, i would not have bought this.. it is Big.. real Big.. Like SemiTruck equipment big..

This is Not one of those “that’s going to start your car?” kinda jump units, oh no this is almost like carrying around one of those old Lead Acid jumpboxes from Diehard..

Only opened it up and held it, haven’t needed to use it yet, we don’t have any truck stops around here to jump Semi Trucks.."
5,Saved us and a couple of strangers!,2021/9/28,"My husband ordered this because our car battery kept dying. I was skeptical, but he was excited about it.

IT WORKS!

We took it on vacation and saved a few stranded strangers with dead batteries! One car was parked in a lot and no one could get close enough to connect jumper cables and the other was on the side of an extremely busy 2 lane road in Glacier National Park.

He hooked this baby up and their cars started instantly! One guy wanted to buy it from us!

This is a tool that you won’t use often, but when you need you’ll be glad you have it!

You do not need another car battery for a jump. All you need is this contraption! It comes with all the plugs and adapters to charge it and use it right out of the box. Comes in a sturdy box we use for storing it in.

Great unique, useful gift for anyone!"
5,Peace of mind + portable power for USB / Cigarette lighter devices,2021/2/28,"I bought this for the peace of mind in case I'm ever in the unfortunate scenario of a dead car battery.  I haven't needed to jump my car yet, but I walked through the steps so I know how to use it if the time comes.  It wasn't difficult at all. The screen is easy to read and a green ""ready"" light let's you know you've connected it properly.I've also used it as a portable power pack.  Two full iphone charges brought it to around 50%, then I used the cigarette adapter to power a tire pump.  Adding about 5 PSI to 8 tires still left me with about 25%.  Finally, I powered a handheld car vacuum for about 15-20 minutes until it hit 0% and powered off.  The only device that didn't run well was my portable DC/AC inverter.  It thought the input (normally a car) had a low battery and wouldn't power it's 120V outlet.  Not really a big deal, but would have been cool if it worked.I did try to help jump a car that stalled at a traffic light, but the ""ready"" light never came on.  This had us suspect there was another issue with the car, like a bad battery connection.  I didn't know the person and they eventually were towed, so I'll never know what was wrong."
5,Worked as advertised,2022/3/21,I bought this recently to have in case I needed a jump and had an opportunity to use when a coworker’s battery died. It worked as advertised and supplied plenty of power. I like that it has a large display to let one know the percentage of charge left and a green ready display to let you know when to jump. It held it charge since I first received it and I had an occasion to charge my phone with it. The charge time is fast! The built-in lights on the unit helped since we were in a darkened garage. Seemed high quality build. Highly recommend.
1,Did not work for me.,2022/1/19,"Charged it. Hooked it to car and it started. Unfortunately, the car then stopped dead. Almost like someone had ripped off the distributor cap. Tried it several times all with the same result. It was confusing because you normally only need to jump the car and once started, you are good so I do not understand why the device shutdown and took the running engine with it.  I gave up, called AAA. They jump started the car in seconds and it ran fine. That AAA was able to do it with no issues told me the car was fine and there is something wrong with this item. Returned it."
5,Need a jump starter! Get this!,2021/11/24,"As a disclaimer I have yet to use this, but this was by far one of the best unboxing experiences I’ve had in a while. The attention to detail they have put in the packaging makes me believe the company really cares for quality. The starter itself feels extremely sturdy and it is exactly as described. Flashlight is pretty bright and the little charge that it needed was very quick. If you are not sure on which starter to get, Id recommend this one!

Edit: Needed to jump start my bike and this worked without any issues!"
4,Use as a 12 volt power supply,2022/3/9,"I purchased the battery for use as a 12 volt source for a 12 volt LED light whip on my trike, so I have not yet tried it out for its intended purpose of starting a car with a dead battery, and cannot comment.  However, if my calculations are correct, the light whip I use at its brightest setting is about 2 amps of draw.  I had hoped to get 10 hours (20000 mAh = 20 Amp) from the battery.  My projections from some trials show I will be lucky to get 5 hours of runtime.  I want to be fair in that I have not actually measured the amp draw in real time as I do not have the instrumentation to do so - I am using data found on the internet for the brand of light whip I am using.I do believe the unit is ruggedly built, and the cables are robust.  I like the fact that you do not have a relay box hanging from the cables as that function is integrated into the housing of the unit, making the unit less awkward to handle.  Look to other reviews that talk about it starting ability and capacity."
5,Worked when I needed it,2022/3/14,"I charged it up and left it in the car for months. Just used it this morning.

Take off half a star for it taking ten minutes to throw off the, ""Error 2,"" signal. Looked at the instructions and it said to hold down the power and led buttons for two seconds while connected to the car battery. Worked perfectly.

Error 2 means that the batter is dead. No crap, I knew it was dead. It took quite a while to tell me that I needed the workaround setting for Error 2. Once I turned it to the ""Error 2 Setting,"" the charger worked instantly. I'll only ever run into this issue once though, so I don't feel justified taking off a full star. Would have appreciated clearer instructions or displays, so I didn't sit there like a silly goose for 10 minutes.

About 4-5 months sitting in the car the charger was still at %100. So definitely close enough to 5 stars."
2,Not a sure thing,2022/2/6,"I used this on my brother's 5.3 Silverado with a completely dead battery where jumper cables didn't even work and it started it. Battery actually turned out to bad. But it started it still, multiple times.

But when I went to use on my 5.7l Silverado it would not start it. So this lead my to think it was something else

After spending money and it still not starting I finally pulled the battery & connected the jump box directly to the terminals, still nothing.

So I had the battery tested & found out it was bad. Put new battery in and it starts just like that.

So this jump box does not fully work.

Wish I could get my money back or something. Was gonna purchase one for every vehicle but dang."
2,"If u life may hang in the balance, this isn’t for u",2021/8/5,"It’s a very nice pack, definitely well thought out..etc it’s down fall is that it’s trying to hard, so I got it to jump the car that doesnt get driven enough and the generator battery cause it tends to die. Well this would do neither. The gen needs u to crank it a few times to get fuel into the carbs, this decided after 4 cranks it was time to rest for 20min so it had a error 2 code (too many attempts), next day I try on the car, the battery is a few weeks old and was disconnected, I hooked it up after connecting the battery and it does “nothing” code #4 battery is dead? Well thanks for the update but isn’t this to jump a dead battery??? So finally I had to charge my black N crapper and it jumped both successfully & I printed the return code for this. I found one similar that will jump a dead battery and is less like a ATM. I want something that i can count on in the worst of conditions"
5,Awesome as a portable battery bank.,2021/1/19,Haven’t used it long enough to see how long it will last but it feels pretty robust.
5,Trustworthy,2021/7/1,"Really easy to use, works very well"
5,Nice charger,2021/1/20,Nice unit easy to use super fast charging
5,Good Product,2021/7/30,Word exactly as described. Very happy so far.
5,Great Product,2021/11/18,"Worked great on my 1999 Ford F-150. Car battery was dead, was easily able to use."
5,warranty,2021/10/23,"Have not used it yet, but it looks good"
5,pro check,2021/7/15,pro check
5,A life saver for real,2021/9/2,Portable and powerful. This thing saved the day many days.
5,User friendly,2021/11/4,"Simple to use , it works great when you're in a pinch or to help someone else."
5,Fantastic tool,2022/3/15,Great tool to have
5,Easy fast,2021/2/23,Great product worked well
5,Easy to use,2021/1/13,"Perfect, very strong"
5,Easy to use,2021/7/1,Great for my boat and motorcycle
1,No funciona,2022/4/3,El iniciador  no funciona???
5,"Buy It , Don’t think Twice , Money well spent .",2021/4/14,5 ⭐️ Love it
5,Life saver,2021/10/2,"Works perfect, I used it multiple times and still on the same charge"
5,WORKS!!!,2021/12/20,Worked like it supposed to!!!
5,Amazing jump starter,2022/3/15,"Car battery died this morning, this device is amazing.  15 minutes charging and started on first try."
5,It very good love it,2021/12/5,It very good love it
5,Excellent,2021/12/28,Excellent
5,Great for the price,2021/3/23,Easy to use
5,Great thing to have,2021/12/19,A life saver. Just wished there was a book to tell me what the error codes mean.
5,The best,2021/1/18,The best jumper starter
5,It worked!,2021/11/5,This started my riding lawn mower with  Briggs and Stratton intek 15.5 hp with a dead battery. Got me going again! It works every time.
5,Genial,2021/2/8,Muy bueno
5,My wife loves it,2021/12/29,"Purchased for my wife, easy to use & store, lightweight (not lead battery). Many safety features guide you to proper connections. This one, I like. Thank you"
5,Goid,2021/10/30,What we really need
5,This is a lifesaver. I love this item.,2021/12/15,I recommend this item. Every household should have this item. Save time and money.
5,I honestly wasn't expecting much.,2022/4/30,"As the title states, my expectations were rather low.  Unit was 87% charged and was fully charged within 20 minutes of charging.  I had a near completely dead battery in my tow vehicle.  It was past the point of even clicking. I connected the Alpha 85 and once it said it was ready I gave the key a bump. Just clicks.  ""I figured as much"", I thought to myself.  I waited a few second and gave it another try. the 7.4L (454) turned over and fired up like I had just installed a new battery. Absolutely no hesitation.  Since I don't seem to be driving this vehicle very often given the current gas prices, and I also can't keep it on a battery tender, this seems to be a perfect solution."
5,This thing is a beast.,2022/2/26,"First off I would like to say that my first impressions, had left me a little upset as it did not work.
It totally changed my mind as I've had it for about a month now!
The build quality is phenomenal, it's heavy, rugged and although you don't want to drop it, it does feel like it can a take a drop or two but I highly recommend getting the hard shell case they offer to pair with this.
So I initially bought this for my 2013 dodge Challenger, it's been heavily modified including a aftermarket battery that needs to be on a tether charger so battery will die in about a week of no use.
I allowed the battery to die and when I first used the hulkman as I said it was not able to start the car, it would turn on briefly then die. I was upset obviously but decided to try another day.
Anyone that owns a challenger knows that the actual battery is in the trunk, but majority of the time we use the fuse box in engine compartment for any type of work or when jumping the car (which is what I did the first day). The second day I connected the hulkman to the actual battery in the trunk and boom started up no issues, and since then I have jumped my challenger (6.2L) 3 times and battery on the hulkman went from 100% to 80% as it seems it drains 3-5% per attempt. In short this little portable device is a monster, just make sure it's connected to the main battery."
5,Works great!,2021/12/26,Works great
4,Cranked two Crusader 454cid and one 4.107 Perkins,2021/7/22,"Update: surviving well, but I like the longer cables of NOCO units on the job.
Stayed within 89% after rotating two Crusader 454cid engines and one Perkins 4.107.

One attempt capacity of the unit.

325i AGM battery that is only a few months old, but I accidently activated the side marker illumination.
""2 !"" indicated a dead battery, hold both buttons to initiate force charge.

This unit did what it was supposed to do, then dropped to 69%. It did not have enough capacity to repeat start a few minutes later. I walk home, recharge, repeat and all was fine. Handy men in the neighborhood had the phone ready to call the police on me, gotta impress the clientele, but I heard one say ""lithium pack""! So, if one of those guys, who buy cheap junk at autoparts stores knows what this pack is, I think I want my money back."
5,Used 1 time it worked,2021/11/16,"Had my doubts when I needed to jump start daughters 4.6 v8 truck. the battery was stone dead after sitting for 6 months. When I first connected the booster nothing not click or a blink, pushed power and light buttons together and viola trucks horn sounded, headlights came on, hit the starter it cranked over about 2 seconds and started right up.
After use jumper battery still showed 96% charge. So after past experience much larger lead acid booster I am very impressed with this booster and recommend it highly."
5,More heavy duty than it looks,2022/3/26,"When I opened the box, I was impressed from the start. This Hulkman jump starter is heavier than it looks in the photos, and the cables are a heavier gauge than they look. It arrived with 72% charge, so I plugged it in with the included wall adapter. It reached full capacity in only a few minutes. Nice! I was able to try it out on a large ATV with a dead battery. It is extremely easy to use. I just plugged in the cable with the clamps and attached them to the battery. The “Ready” light quickly lit up. I pressed the start button and it started effortlessly. Before using the jump starter, it wouldn’t even crank; it only clicked. After starting it, the battery in the jump starter still had 97% remaining. I’m keeping it in my car in case I need it, and I feel very confident that it will be able to start my car if I ever have a dead battery. Very satisfied."
5,All around amazing,2022/1/20,"This jump starter is nothing short of amazing.  From the moment you begin opening the box you can just tell that what’s inside is going to be incredible.  I compare it to Apple’s packaging.  Everything is perfect, all the accessories are solid, nothing feels or looks flimsy.  All openings are the charger have waterproof covers, the battery clams are big and beefy and really grip the battery posts.  Super easy to use, clear instructions.  The information screen is bright and crystal clear. I must say this product is probably one of the top 10 high quality products that I’ve ever purchased. Fully Charging the battery pack is lightning fast. I’m thrilled with this product and that does not happen often with me."
5,Great product that just proved its worth,2022/1/25,"Finally decided to spend the money and get one of these battery powered jump starters after my battery died in the middle of a school car-line.  I purchased the unit at the end of October, charged it up, and threw it in the truck of the car.  It's now the end of January and haven't touched it until today.  A fellow car-line prisoner's battery died and I couldn't have been more excited to try out this product and return the favor.  I took all the packaging off, plug it up to the battery, then nothing!!  I guess the battery was COMPLETELY dead.  In that case, I held the two buttons down together until it said ""Ready"".  The guy turned the key and the car started right up.  Afterwards, the product still had 92% charge left.  Really pleased with this thing.  I would highly recommend it.  Sucks to spend the money when you don't immediately need it, but when you do need it, its very convenient."
5,Very nice jump starter compared to my previous one.,2022/4/28,"It seems a lot of companies are jumping on the bandwagon for portable jump starters. My first one was an Everstart and it's still doing its job. I still have it in my car. I bought this for my wife's vehicle. I bought a different brand before this one, and it was faulty right out of the box. The light wouldn't turn on. So I decided to go with this brand. It's a bit beefy, but it has a really nice display and it worked right out of the box. I have it tucked away in the spare tire storage area of my wife's Honda CR-V. You can buy a hard case for it, but I decided to go with a cloth material since her CR-V has limited space in the spare tire area."
5,Doesn't work [update],2022/2/8,"[Update] to turn it on press both bottoms until it says ready, user error this is actually a very good product.

A month ago I went on a family trip just to come back with a dead battery. I replaced the battery for a new and my truck battery went dead again because of what I believe is a parasitic drain problem. I bought another jump starter but that thing sucked so I returned it and bought the Hulkman. It arrived today just in time because tomorrow my son has a medical appointment, charged it and this thing doesn't jump start my truck at 100% battery. Light works, usb and usb-c ports works but the thing that I really need it just didn't work. I guess I was the unlucky one, will be returning this unit."
5,First use was on big dump truck,2022/1/1,Bought this about a month ago but first used it last night. Had a dead battery on our old ford dump truck (gas not diesel). Using the force mode it started immediately with this device. Of course it was night time and 20F outside at the time. Flashlight function was extremely nice to have. We ended up having to use it three times since we kept managing to stall the truck trying to get it unstuck. This device was unfazed and still had 70% charge left afterward. Needless to say I was really impressed. Ordered another one after giving the first one to my buddy to keep. Charges fast via the DC plug that is included with it. I bought a case for it but the original box it ships in is really not bad for long term storage.
5,"This is an awesome product and once you own one, you wont want anything else",2022/2/26,"I am below average when it comes to mechanical things.  This device is simple to use and has the 3 steps in simple diagrams (connect the clamps, plug into the hulkman, and power it up).  I had the 4th step which is to start your car.  My battery was dead, so the device required me to press the power and led button together.  It simply cant get easier and there is no spark.  I did it today in less than 2 minutes.  This is an awesome product."
5,Retains Charge and Operative at -40C/F,2022/2/4,"I live in northern Michigan.  Recently purchased the Hulkman Alpha85 Jump Starter.  In contrast to some prior reviews, I want to clarify that according to the manufacturer's instructions, this device is operative at -40 deg C/F.  The device arrived with 80% charge.  Took only 5 minutes to reach 100% charge.  I recently took a trip and left my car at the airport for three weeks in below zero weather.  On my return, the Hulkman still retained 100% charge!!"
5,Awesome and Functional,2022/4/23,"I have lent this out to a neighboor three times to start their 5.8 liter truck and it never came back with any complaints or scratches. I havent need it yet for a jump but it lives under the seat in the car where it can get hot and has no problem holding a charge. I have used it several times to charge phones in a jam and thrice now to charge a 16 inch MacBook pro. It doesnt really like to do it because the power output is t enough to use and charge, mostly just plugin and slow the drain. I had to do this once for work but made it the better part of a full day using no wall power. My computer and the battery were about 50% before I finally gave in and purchased a wall adapter. The only ones available at the Apple Store were 30watt and did nearly the same thing except it would also charge VERY slowly, like 1 hour to add 5-10% to the laptop battery. All this is to say, its useful in a pinch for more than just jumping cars but keep that to yourself or it will disappear when you need it most."
5,Starts My 6.7 right up,2021/9/12,"Shortly after I purchased this, one of the batteries in my truck went bad. So I was jump starting it daily until I took care of the battery. Went about a week jumping it. Super simple and super easy. I probably got about 10 or so jump starts out of a single charge. Very impressed with this product.

The only thing I’d like to see them add or offer is a small carrying bag. The box it comes in is not practical to carry around. Its a process to open the box it comes in so I don’t keep it in that either."
5,Great battery pack,2021/6/19,"This thing is very powerful. My ex couldn't get her car to jump start with traditional cables after 20 minutes. I came out with the Hulkman and connected it and the car fired right up. I've used this on my daughter's car and one of my completely dead tractor batteries and it fires it up every time on the first crank. Love the power, reliability and convenience of this so much I got one for my daughter and showed her how to use it so I don't have to worry about her getting stuck somewhere if her battery suddenly goes dead. Today's batteries typically don't give you a warning. One day you go to start it and the battery is just dead. Great to have this in your vehicle just in case."
5,5star,2021/4/21,I am a car dealer and this is the best jump box I have used. Turns over every car instantly and takes less than 5 percent of battery to start each car. I have jumped 10 vehicles in the past 2days at auctions and battery is still at 70 percent.Very sturdy and simple design. Only been using a month but extremely impressed. Replaced my $300 oem jump pack from autozone which was complete junk. The Oem one from autozone caught on fire so they gave me a new one. The new replacement one autozone gave me came apart a week after I got it. It wasn't even worth getting another free replacement. This hulkman is built sturdy and has instant turnover .5star with the price
5,"Highly Portable, Minimalist Elagance, Functional and Easy to Use",2021/9/14,"I bought this because I needed to jump my Prius after my catalytic converter was stolen. I had to move my car every few days because I live in the city (street sweeping, etc) and using my girlfriends car to jumpstart the Prius was really not feasible.

I looked at a bunch of different portable jump packs and this was my top pick for my budget and what I was looking for.

I wanted something that had enough power to jump start my car, was reliable, easy to read/use, and compact/portable (easy to carry and store).

This delivered on all fronts. You have to read the directions. I had to use force start function after attaching to my battery and it started on the first time, every time (well I had to jump my electrical panel under the hood to unlock the trunk and then attach to the battery in the trunk of the Prius and jump the battery).

This was working great until around the 8th jump that I needed (after 3 weeks ish). I reached out to customer service and they were amazing. They were easy to contact were in constant communication and followed up when they hadn’t heard from me in a couple days.

Not only did they replace my Alpha85 but after hearing of how I had to start the car they gave me a free upgrade to their Alpha100!!! They wanted to make sure I had the best product in their line after hearing of what I had to do to jumpstart the Prius.

Hulkman really cares about their customers and stands behind their products. I had bought a protective case for the Alpha85 as well and was thinking of getting one for the replacement Hulkman was sending since the Alpha100 is slightly larger but Hulkman blew me away and already sent one out knowing that I ordered the case for the Alpha85!!! I didn’t even ask or mention it in my contact with them. They just knew from my order # and anticipated my needs. They went waaaay above and beyond to make sure I had a great experience and showed me not only how much they stand behind their products but how much they value their customers.

You got a lifelong supporter here Hulkman. I will buy your products for my automotive needs every time. Thank You!!!"
5,Lifesaver,2022/1/7,This is perfect haven’t driven for a month went to start my car and my car didn’t start read review’s on tons of different jumps starters this one was decent priced and had prime delivery I got the next day it came charged at 80% I went and followed the directions and it started my car with no issues. so far this did as promised before I even had to charge it so much easier than having to hook up to a car with traditional jumper cables only thing that would make this better is the cables being longer but they are good enough for my Corolla I would recommend it took only 10% leaving 70% to use another time and since I’m not driving all the time thanks to the pandemic this little battery does what I need!
3,Excellent but make sure you know what Default codes one and two and three mean,2022/1/28,I thought the instructions were OK I wish there was more emphasis on the understanding what a fault code means when it appears. People think you just hook it up and jumpstart your car but you need to understand what the boost potential is if you’ve got a battery that is completely dead. Once I understood code 2 meant  and how to handle it …..it worked like a champ
4,Fantastic Customer Service,2021/6/26,"Terrible product would not start my 2014 Cadillac XTS with a 6 cylinder engine. JUNK!!! VERY UN HAPPY. IT WAS 100% charged and would not start my car. Had to jump my car with another car. Waste of money!,!

UPDATE. THE COMPANY SAW MY REVIEW AND IMMEDIATELY CONTACT ME AND SENT ME A NEW CHARGER. NO QUESTIONS ASKED. VERY VERY IMPRESSED!!!!"
5,Rapid Charging,2022/4/13,"When the charger arrived, it was only at 82% but took less than 30 minutes to fully charge to 100%.  Might I offer a few suggestions.  The protective end cap should have a storage means so as not to get lost.  I added Velcro to the end cap and another place of the charger cables to affix the piece.  Also liked the Positive and Negative symbols on the jumper cables even though it was difficult to see.  I just took a Magic Marker and highlighted the Red Plus Sign on the red clamp.  While I don't know if weight has any bearing on quality, this is the heaviest Jumper Battery I have ever had other than old technology where the car jumper is the size of a small cooler."
5,Worked when it was needed.,2022/1/9,"I bought this for my daughter as she entered her first year at The Ohio State University last fall (2021). Just today, after she arrived on campus after Christmas break, she had to get a COVID test and wait in her car for a while for the results. Though she's embarrassed to admit it because she knows better, she left the key in the ignition long enough that it drained the battery and wouldn't start. A quick read of the directions, and she had the car started in 5 minutes. The Jump Starter's battery still showed 100% after being charged in the fall at the start of the first semester, so it obviously holds a charge well. After one jump start, it still read over 90%.  She'll charge it back to 100% when she gets to her dorm, and back it will go in the trunk, ready for next time."
